participant_id,trial,stimulus_number,object_name,category,stimulus_type,is_lure,presentation_time,is_question_trial,question_category,question_text,answer,correct_answer,correct,timed_out,response_time
k,1,78,Globe,SMALL_OBJECT,Image,False,2026-01-30 23:21:31.025122,False,,,,,,,
k,2,86,Bok_choy,VEGETABLE,Lure,True,2026-01-30 23:21:32.566815,False,,,,,,,
k,3,60,Wasp,INSECT,Image,False,2026-01-30 23:21:34.092470,False,,,,,,,
k,4,76,Football,SMALL_OBJECT,Lure,True,2026-01-30 23:21:35.794167,False,,,,,,,
k,5,84,Basil,VEGETABLE,Image,False,2026-01-30 23:21:37.363477,False,,,,,,,
k,6,22,Duck,BIRD,Lure,True,2026-01-30 23:21:38.916516,False,,,,,,,
k,7,75,Envelope,SMALL_OBJECT,Lure,True,2026-01-30 23:21:40.451930,False,,,,,,,
k,8,73,Blender,SMALL_OBJECT,Lure,True,2026-01-30 23:21:41.994273,False,,,,,,,
k,9,60,Wasp,INSECT,Lure,True,2026-01-30 23:21:43.549126,False,,,,,,,
k,10,2,Alpaca,BIG_ANIMAL,Image,False,2026-01-30 23:21:45.102447,True,BIG_ANIMAL,Was the last object a big animal?,TIMEOUT,True,,True,10.0
k,11,99,Jetski,VEHICLE,Image,False,2026-01-30 23:21:58.904939,False,,,,,,,
k,12,96,Cruise_ship,VEHICLE,Image,False,2026-01-30 23:22:00.456526,False,,,,,,,
k,13,20,Phonebooth,BIG_OBJECT,Image,False,2026-01-30 23:22:01.980273,False,,,,,,,
k,14,38,Pie,FOOD,Image,False,2026-01-30 23:22:03.489760,False,,,,,,,
k,15,4,Cheetah,BIG_ANIMAL,Image,False,2026-01-30 23:22:05.009802,False,,,,,,,
k,16,17,Filing_cabinet,BIG_OBJECT,Image,False,2026-01-30 23:22:06.524539,False,,,,,,,
k,17,75,Envelope,SMALL_OBJECT,Image,False,2026-01-30 23:22:08.057779,False,,,,,,,
k,18,51,Ants,INSECT,Image,False,2026-01-30 23:22:09.817633,False,,,,,,,
k,19,98,Jeep,VEHICLE,Image,False,2026-01-30 23:22:11.343974,False,,,,,,,
k,20,68,Monkey,SMALL_ANIMAL,Lure,True,2026-01-30 23:22:12.978377,True,SMALL_ANIMAL,Was the last object a small animal?,TIMEOUT,True,,True,10.0
k,21,10,Zebra,BIG_ANIMAL,Lure,True,2026-01-30 23:22:26.667638,False,,,,,,,
k,22,51,Ants,INSECT,Lure,True,2026-01-30 23:22:28.220034,False,,,,,,,
k,23,34,Donut,FOOD,Lure,True,2026-01-30 23:22:29.746426,False,,,,,,,
k,24,73,Blender,SMALL_OBJECT,Image,False,2026-01-30 23:22:31.291495,False,,,,,,,
k,25,17,Filing_cabinet,BIG_OBJECT,Lure,True,2026-01-30 23:22:32.925171,False,,,,,,,
k,26,39,Pizza,FOOD,Image,False,2026-01-30 23:22:34.562463,False,,,,,,,
k,27,54,Bug,INSECT,Image,False,2026-01-30 23:22:36.127106,False,,,,,,,
k,28,9,Walrus,BIG_ANIMAL,Image,False,2026-01-30 23:22:37.673684,False,,,,,,,
k,29,32,Burrito,FOOD,Lure,True,2026-01-30 23:22:39.258921,False,,,,,,,
k,30,88,Kale,VEGETABLE,Lure,True,2026-01-30 23:22:40.867546,True,VEGETABLE,Was the last object a vegetable?,TIMEOUT,True,,True,10.0
k,31,81,Arugula,VEGETABLE,Lure,True,2026-01-30 23:22:54.557030,False,,,,,,,
k,32,47,Peach,FRUIT,Lure,True,2026-01-30 23:22:56.112176,False,,,,,,,
k,33,70,Otter,SMALL_ANIMAL,Lure,True,2026-01-30 23:22:57.637572,False,,,,,,,
k,34,81,Arugula,VEGETABLE,Image,False,2026-01-30 23:22:59.169947,False,,,,,,,
k,35,83,Avocado,VEGETABLE,Image,False,2026-01-30 23:23:00.694438,False,,,,,,,
k,36,37,Pasta,FOOD,Lure,True,2026-01-30 23:23:02.252068,False,,,,,,,
k,37,21,Chicken,BIRD,Lure,True,2026-01-30 23:23:03.798145,False,,,,,,,
k,38,10,Zebra,BIG_ANIMAL,Image,False,2026-01-30 23:23:05.345171,False,,,,,,,
k,39,41,Apple,FRUIT,Image,False,2026-01-30 23:23:06.985439,False,,,,,,,
k,40,68,Monkey,SMALL_ANIMAL,Image,False,2026-01-30 23:23:08.548970,True,SMALL_ANIMAL,Was the last object a small animal?,TIMEOUT,True,,True,10.0
k,41,6,Giraffe,BIG_ANIMAL,Lure,True,2026-01-30 23:23:22.398076,False,,,,,,,
